Ishtar
Medusa, \(Rider Series\), \(Fate Series\)
Ereshkigal
Tamamo, \(Fate Series\)
Minamoto No Raikou, \(Fate Series\)
Nero Claudius, \(Fate Series\)
Bulma, \(Dragon Ball Series\)
Android 18, \(Dragon Ball Z Series\)
Android 21, \(Dragon Ball Series\)
Sakura Haruno, \(Naruto Series\)
Hinata, \(Naruto Series\)
Sakura, \(Naruto Series\)
Hinata Hyuuga, \(Naruto Series\)
Tsunade, \(Naruto Series\)
Konan, \(Naruto Series\)
Ino, \(Naruto Series\)
Temari, \(Naruto Series\)
Mei, \(Naruto Series\)
Tenten, \(Naruto Series\)
Kushina, \(Naruto Series\)
Hanabi, \(Naruto Series\)
Kurenai, \(Naruto Series\)
Anko, \(Naruto Series\)
Albedo, \(Overlord Series\)
Shalltear, \(Overlord Series\)
Narberal, \(Overlord Series\)
Lupusregina, \(Overlord Series\)
Aura, \(Overlord Series\)
Solution, \(Overlord Series\)
Renner, \(Overlord Series\)
Asuna Yuuki, \(Sword Art Online Series\)
Asuna, \(Sword Art Online Series\)
Yui, \(Sword Art Online Series\)
Suguha, \(Sword Art Online Series\)
Lisbeth, \(Sword Art Online Series\)
Sinon, \(Sword Art Online Series\)
Black Widow, \(Marvel Series\)
Scarlet Witch, \(Marvel Series\)
Black Cat, \(Marvel Series\)
Asuka, \(Senran Kagura Series\)
Yagyu, \(Senran Kagura Series\)
Ayame, \(Senran Kagura Series\)
Muramasa, \(Senran Kagura Series\)
Homura, \(Senran Kagura Series\)
Bashou, \(Senran Kagura Series\)
Kagura, \(Senran Kagura Series\)
Storm, \(X-men Series\)
Rogue, \(X-men Series\)
Ikumi Mito, \(Shokugeki No Souma Series\)
Ikumi, \(Shokugeki No Souma Series\)
Erina Nakiri, \(Shokugeki No Souma Series\)
Alice Nakiri, \(Shokugeki No Souma Series\)
Ivy, \(Soul Calibur Series\)
Sophitia, \(Soul Calibur Series\)
Taki, \(Soul Calibur Series\)
Meiko Shiraki, \(Prison School Series\)
Meiki, \(Prison School Series\)
Mari Kurihara, \(Prison School Series\)
Mari, \(Prison School Series\)
Hana Midorikawa, \(Prison School Series\)
Hana, \(Prison School Series\)
Harley Quinn, \(Dc Comics Series\)
Poison Ivy, \(Dc Comics Series\)
Wonder Woman, \(Dc Comics Series\)
Raven, \(Dc Comics Series\)
Batgirl, \(Dc Comics Series\)
Catwoman, \(Dc Comics Series\)
Dark Magician Girl, \(Yu-gi-oh! Series\)
Tea, \(Yu-gi-oh! Series\)
Mai Valentine, \(Yu-gi-oh! Series\)
Ishizu Ishtar, \(Yu-gi-oh! Series\)
Alexis Rhodes, \(Yu-gi-oh! Series\)
Akiza Izinski, \(Yu-gi-oh! Series\)
Zuzu Boyle, \(Yu-gi-oh! Series\)
Nami, \(One Piece Series\)
Nico Robin, \(One Piece Series\)
Boa Hancock, \(One Piece Series\)
Nefertari Vivi, \(One Piece Series\)
Yamato, \(One Piece Series\)
Jewelry Bonney, \(One Piece Series\)
Rias Gremory, \(High School Dxd Series\)
Akeno Himejima, \(High School Dxd Series\)
Asia Argento, \(High School Dxd Series\)
Koneko Toujou, \(High School Dxd Series\)
Koneko, \(High School Dxd Series\)
Asia, \(High School Dxd Series\)
Serafall Leviathan, \(High School Dxd Series\)
Chun-li, \(Street Fighter Series\)
Cammy, \(Street Fighter Series\)
Lucy Heartfilia, \(Fairy Tail Series\)
Erza Scarlet, \(Fairy Tail Series\)
Wendy, \(Fairy Tail Series\)
Juvia, \(Fairy Tail Series\)
Mirajane, \(Fairy Tail Series\)
Hestia, \(Danmachi Series\)
Ais Wallenstein, \(Danmachi Series\)
Freya, \(Danmachi Series\)
Hephaestus, \(Danmachi Series\)
Ishtar, \(Danmachi Series\)
Sanjouno Haruhime, \(Danmachi Series\)
Ryuu Lion, \(Danmachi Series\)
Kurumi Imari, \(Bible Black Series\)
Reik Kitami, \(Bible Black Series\)
Kaori Saeki, \(Bible Black Series\)
Orihime Inoue, \(Bleach Series\)
Rukia Kuchiki, \(Bleach Series\)
Yotuichi, \(Bleach Series\)
Yoruichi Shihouin, \(Bleach Series\)
Sui-feng, \(Bleach Series\)
Rangiku Matsumoto, \(Bleach Series\)
Retsu Unohana, \(Bleach Series\)
Neliel Tu Odelschwanck, \(Bleach Series\)
Nelliel, \(Bleach Series\)
Nelliel Tu Odelschwanck, \(Bleach Series\)
Neliel, \(Bleach Series\)
Harribel, \(Bleach Series\)
Nemu, \(Bleach Series\)
Hiyori, \(Bleach Series\)
Mashiro, \(Bleach Series\)
Loly, \(Bleach Series\)
Bambietta, \(Bleach Series\)
Candice, \(Bleach Series\)
Shion, \(Tensei Shitara Slime Datta Ken Series\)
Shuna, \(Tensei Shitara Slime Datta Ken Series\)
Milim, \(Tensei Shitara Slime Datta Ken Series\)
Tifa Lockhart, \(Final Fantasy Series\)
Tifa, \(Final Fantasy Series\)
Cindy, \(Final Fantasy Series\)
Yuna, \(Final Fantasy Series\)
Lightning, \(Final Fantasy Series\)
Aerith, \(Final Fantasy Series\)
Lulu, \(Final Fantasy Series\)
Yuffie, \(Final Fantasy Series\)
Rikku, \(Final Fantasy Series\)
Junko Enoshima, \(Danganronpa Series\)
Nanami Chiaki, \(Danganronpa Series\)
Akamatsu Kaede, \(Danganronpa Series\)
Tsumiki Mikan, \(Danganronpa Series\)
Harukawa Maki, \(Danganronpa Series\)
Celestia Ludenberg, \(Danganronpa Series\)
Maizono Sayaka, \(Danganronpa Series\)
Fujisaki Chihiro, \(Danganronpa Series\)
Kyoko Kirigiri, \(Danganronpa Series\)
Ibuku Mioda, \(Danganronpa Series\)
Aoi Asahina, \(Danganronpa Series\)
Mikan Tsumiki, \(Danganronpa Series\)
Menace, \(Queen's Blade Series\)
Cattleya, \(Queen's Blade Series\)
Melona, \(Queen's Blade Series\)
Shizuka, \(Queen's Blade Series\)
Aldra, \(Queen's Blade Series\)
Alleyne, \(Queen's Blade Series\)
Airi, \(Queen's Blade Series\)
Nanael, \(Queen's Blade Series\)
Alicia, \(Queen's Blade Series\)
Irma, \(Queen's Blade Series\)
Melpha, \(Queen's Blade Series\)
Asagi Igawa, \(Taimanin Assagi Series\)
Sakura Igawa, \(Taimanin Assagi Series\)
Asaka Koukawa, \(Taimanin Assagi Series\)
Rinko Akiyama, \(Taimanin Assagi Series\)
Oboro, \(Taimanin Assagi Series\)
Mizuki Yukikaze, \(Taimanin Assagi Series\)
Murasaki Yatsu, \(Taimanin Assagi Series\)
Astaroth, \(Taimanin Assagi Series\)
Shiranui Mizuki, \(Taimanin Assagi Series\)
Rufina, \(Taimanin Assagi Series\)
Kosaka Shizuru, \(Taimanin Assagi Series\)
Blair, \(Soul Eater Series\)
Maka Albarn, \(Soul Eater Series\)
Al Kizuna, \(Azur Lane Series\)
Prinz Eugen, \(Azur Lane Series\)
Noire, \(Azur Lane Series\)
Neptune, \(Azur Lane Series\)
Belfast, \(Azur Lane Series\)
Rikka Takarada, \(Azur Lane Series\)
Enterprise, \(Azur Lane Series\)
Atago, \(Azur Lane Series\)
Akagi, \(Azur Lane Series\)
Kaga, \(Azur Lane Series\)
Aqua Minato, \(Azur Lane Series\)
Taihou, \(Azur Lane Series\)
Vert, \(Azur Lane Series\)
Blanc, \(Azur Lane Series\)
Marie Rose, \(Azur Lane Series\)
Formidable, \(Azur Lane Series\)
Laffey, \(Azur Lane Series\)
Mio Ookami, \(Azur Lane Series\)
Ayanami, \(Azur Lane Series\)
Sirius, \(Azur Lane Series\)
Unicorn, \(Azur Lane Series\)
Shion Murasaki, \(Azur Lane Series\)
Matsuri Natsuiro, \(Azur Lane Series\)
Ayame Nakiri, \(Azur Lane Series\)
Z23, \(Azur Lane Series\)
Shoukaku, \(Azur Lane Series\)
Mizore, \(Rosaria+vampire Series\)
Moka, \(Rosaria+vampire Series\)
Fubuki, \(One Punch Man Series\)
Tatsumaki, \(One Punch Man Series\)
Tsukiumi, \(Sekirei Series\)
Musubi, \(Sekirei Series\)
Kazehana, \(Sekirei Series\)
Uzume, \(Sekirei Series\)
Artoria Pendragon, \(Fate Series\)
Ishtar, \(Fate Series\)
Illyasviel Von Einzbern, \(Fate Series\)
Illyasviel, \(Fate Series\)
Nero Claudius, \(Fate Series\)
Okita Souji, \(Fate Series\)
Jeanne D'arc, \(Fate Series\)
Miyamoto, \(Fate Series\)
Chloe, \(Fate Series\)
Chloe Von Einzbern, \(Fate Series\)
Nitocris, \(Fate Series\)
Tamamo Cat, \(Fate Series\)
Abigail Williams, \(Fate Series\)
Jack The Ripper, \(Fate Series\)
Marin, \(My Dress-up Darling Series\)
Marin Kitagawa, \(My Dress-up Darling Series\)
Sajuna Inui, \(My Dress-up Darling Series\)
Nowa Sugaya, \(My Dress-up Darling Series\)
Shizuku Kuroe, \(My Dress-up Darling Series\)
Mona, \(Genshin Impact Series\)
Mona Megistus, \(Genshin Impact Series\)
Ganyu, \(Genshin Impact Series\)
Keqing, \(Genshin Impact Series\)
Hu Tao, \(Genshin Impact Series\)
Fischl, \(Genshin Impact Series\)
Noelle, \(Genshin Impact Series\)
Lisa Minci, \(Genshin Impact Series\)
Jean Gunnhildr, \(Genshin Impact Series\)
Raiden Ei, \(Genshin Impact Series\)
Jean, \(Genshin Impact Series\)
Raiden, \(Genshin Impact Series\)
Amber, \(Genshin Impact Series\)
Eula, \(Genshin Impact Series\)
Beidou, \(Genshin Impact Series\)
Sucrose, \(Genshin Impact Series\)
Rosario, \(Genshin Impact Series\)
Mao, \(Genshin Impact Series\)
Paimon, \(Genshin Impact Series\)
Yanfei, \(Genshin Impact Series\)
Venti, \(Genshin Impact Series\)
Klee, \(Genshin Impact Series\)
Shenhe, \(Genshin Impact Series\)
Qiqi, \(Genshin Impact Series\)
Xiao, \(Genshin Impact Series\)
Yelan, \(Genshin Impact Series\)
Yun Jin, \(Genshin Impact Series\)
Diona, \(Genshin Impact Series\)
Aoi Kunieda, \(Beelzebub Series\)
Hildegarde, \(Beelzebub Series\)
Lamia, \(Beelzebub Series\)
Yolda, \(Beelzebub Series\)
High Elf Archer, \(Goblin Slayer Series\)
Guild Girl, \(Goblin Slayer Series\)
Priestess, \(Goblin Slayer Series\)
Cow Girl, \(Goblin Slayer Series\)
Sword Maiden, \(Goblin Slayer Series\)
Witch, \(Goblin Slayer Series\)
Korone Inugami, \(Hololive Series\)
Pekora Usada, \(Hololive Series\)
Marine Houshou, \(Hololive Series\)
Fubuki Shirakami, \(Hololive Series\)
Coco Kiryu, \(Hololive Series\)
Rushia Uruha, \(Hololive Series\)
Okayu Nekomata, \(Hololive Series\)
Suisei Hoshimachi, \(Hololive Series\)
Aqua Minato, \(Hololive Series\)
Subaru Oozora, \(Hololive Series\)
Towa Tokoyami, \(Hololive Series\)
Miko Sakura, \(Hololive Series\)
Shion Murasaki, \(Hololive Series\)
Noel Shirogane, \(Hololive Series\)
Roxy, \(Mushoku Tensei Series\)
Roxy Migurdia, \(Mushoku Tensei Series\)
Eris, \(Mushoku Tensei Series\)
Eris Greyrat, \(Mushoku Tensei Series\)
Eris Boreas Greyrat, \(Mushoku Tensei Series\)
Sylphiette, \(Mushoku Tensei Series\)
Zenith, \(Mushoku Tensei Series\)
Lilia, \(Mushoku Tensei Series\)
Aisha, \(Mushoku Tensei Series\)
Elinalise, \(Mushoku Tensei Series\)
Ghislaine, \(Mushoku Tensei Series\)
Kishirika, \(Mushoku Tensei Series\)
Norn, \(Mushoku Tensei Series\)
Yachiru, \(Bleach Series\)
Lucy, \(Cyberpunk Edgerunners Series\)
Rebecca, \(Cyberpunk Edgerunners Series\)
Yor Forger, \(Spy X Family Series\)
Yor, \(Spy X Family Series\)
Anya Forger, \(Spy X Family Series\)
Anya, \(Spy X Family Series\)
Megumin, \(Konosuba Series\)
Aqua, \(Konosuba Series\)
Wiz, \(Konosuba Series\)
Arnes, \(Konosuba Series\)
Rem, \(Re:zero Series\)
Emilia, \(Re:zero Series\)
Ram, \(Re:zero Series\)
Echidna, \(Re:zero Series\)
Felix, \(Re:zero Series\)
Crusch, \(Re:zero Series\)
Beatrice, \(Re:zero Series\)
Felt, \(Re:zero Series\)
Satella, \(Re:zero Series\)
Princilla Barielle, \(Re:zero Series\)
Elsa, \(Re:zero Series\)
Theresia Van Astrea, \(Re:zero Series\)
Minerva, \(Re:zero Series\)
Kurisu Makise, \(Steins;gate Series\)
Kurisu, \(Steins;gate Series\)
Mayuri, \(Steins;gate Series\)
Mayuri Shiina, \(Steins;gate Series\)
Suzuha, \(Steins;gate Series\)
Faris, \(Steins;gate Series\)
Luka, \(Steins;gate Series\)
Moeka, \(Steins;gate Series\)
Maho Hiyajo, \(Steins;gate Series\)
Yuki, \(Steins;gate Series\)
Kagari, \(Steins;gate Series\)
Nae, \(Steins;gate Series\)
Ochaco Uraraka, \(My Hero Academia Series\)
Tsuyu Asui, \(My Hero Academia Series\)
Momo, \(My Hero Academia Series\)
Himiko Toga, \(My Hero Academia Series\)
Himiko, \(My Hero Academia Series\)
Mei Hatsume, \(My Hero Academia Series\)
Nemuri Kayama, \(My Hero Academia Series\)
Camie Utsushimi, \(My Hero Academia Series\)
2b, \(Nier Automata Series\)
A2, \(Nier Automata Series\)
Shinobu Oshino, \(Monogatari Series\)
Hitagi Senjougahara, \(Monogatari Series\)
Hitagi, \(Monogatari Series\)
Mayoi, \(Monogatari Series\)
Karen Araragi, \(Monogatari Series\)
Tsukihi, \(Monogatari Series\)
Sodachi, \(Monogatari Series\)
Rin, \(Fate/stay Night Series\)
Rin Tohsaka, \(Fate/stay Night Series\)
Saber, \(Fate/stay Night Series\)
Medusa, \(Fate/stay Night Series\)
Rider, \(Fate/stay Night Series\)
Sakura, \(Fate/stay Night Series\)
Illya, \(Fate/stay Night Series\)
Illyasviel Von Einzbern, \(Fate/stay Night Series\)
Mikasa, \(Attack On Titan Series\)
Historia, \(Attack On Titan Series\)
Sasha, \(Attack On Titan Series\)
Annie, \(Attack On Titan Series\)
Raphtalia, \(Tate No Yuusha No Nariagari Series\)
Melty, \(Tate No Yuusha No Nariagari Series\)
Malty, \(Tate No Yuusha No Nariagari Series\)
Karin, \(Naruto Series\)
Nezuko, \(Demon Slayer Series\)
Nezuko Kamado, \(Demon Slayer Series\)
Shinobu, \(Demon Slayer Series\)
Shinobu Kocho, \(Demon Slayer Series\)
Mitsuri, \(Demon Slayer Series\)
Kanao, \(Demon Slayer Series\)
Kanae, \(Demon Slayer Series\)
Daki, \(Demon Slayer Series\)
C.c., \(Code Geass Series\)
Kallen, \(Code Geass Series\)
Shirley, \(Code Geass Series\)
Euphemia, \(Code Geass Series\)
Viletta Nu, \(Code Geass Series\)
Viletta, \(Code Geass Series\)
Cordelia, \(Code Geass Series\)
Milly, \(Code Geass Series\)
Anya, \(Code Geass Series\)
Nunnaly, \(Code Geass Series\)
Rakshata, \(Code Geass Series\)
Yuno Gasai, \(The Future Diary Series\)
Ai Kizuna
Gura Gawr, \(Hololive Series\)
Mori Calliope, \(Hololive Series\)
Pekora Usada, \(Hololive Series\)
Amelia Watson, \(Hololive Series\)
Nyanners
Ina'nis Ninomae, \(Hololive Series\)
Hayase Nagatoro
Hayase Nagatoro, \(Ijiranaide Nagatoro-san Series\)
Power, \(Chainsaw Man Series\)
Makima, \(Chainsaw Man Series\)
Jibril, \(No Game No Life Series\)
Shiro, \(No Game No Life Series\)
Stephanie, \(No Game No Life Series\)
Mikoto Misaka, \(A Certain Magical Index Series\)
Misaki, \(A Certain Magical Index Series\)
Shirai, \(A Certain Magical Index Series\)
Miku Hatsune, \(Vocaloid Series\)
Yumeko Jabami, \(Compulsive Gambler Series\)
Touka, \(Tokyo Ghoul Series\)
Eto, \(Tokyo Ghoul Series\)
Rize, \(Tokyo Ghoul Series\)
Akira, \(Tokyo Ghoul Series\)
Juuzou, \(Tokyo Ghoul Series\)
Saiko, \(Tokyo Ghoul Series\)
D.va, \(Overwatch Series\)
Hana Song, \(Overwatch Series\)
Tracer, \(Overwatch Series\)
Lena Oxton, \(Overwatch Series\)
Mercy, \(Overwatch Series\)
Angela, \(Overwatch Series\)
Mei, \(Overwatch Series\)
Mei-ling, \(Overwatch Series\)
Widowmaker, \(Overwatch Series\)
Amelie, \(Overwatch Series\)
Sombra, \(Overwatch Series\)
Brigitte, \(Overwatch Series\)
Ashe, \(Overwatch Series\)
Pharah, \(Overwatch Series\)
Ana, \(Overwatch Series\)
Symmetra, \(Overwatch Series\)
Fareeha, \(Overwatch Series\)
Tamaki, \(Fire Force Series\)
Maki, \(Fire Force Series\)
Iris, \(Fire Force Series\)
Hibana, \(Fire Force Series\)
Lisa, \(Fire Force Series\)
Cynthia, \(Pokemon Series\)
May, \(Pokemon Series\)
Lillie, \(Pokemon Series\)
Dawn, \(Pokemon Series\)
Serena, \(Pokemon Series\)
Rosa, \(Pokemon Series\)
Hilda, \(Pokemon Series\)
Misty, \(Pokemon Series\)
Kasumi, \(Pokemon Series\)
Nessa, \(Pokemon Series\)
Marnie, \(Pokemon Series\)
Jessie, \(Pokemon Series\)
Sonia, \(Pokemon Series\)
Bea, \(Pokemon Series\)
May, \(Pokemon Series\)
Nurse Joy, \(Pokemon Series\)
Roxanne, \(Pokemon Series\)
Melony, \(Pokemon Series\)
Officer Jenny, \(Pokemon Series\)
Shauna, \(Pokemon Series\)
Saeko, \(Highschool Of The Dead Series\)
Monika, \(Doki Doki Literature Club! Series\)
Yuri, \(Doki Doki Literature Club! Series\)
Natsuki, \(Doki Doki Literature Club! Series\)
Sayuri, \(Doki Doki Literature Club! Series\)
Rory Mercury, \(Gate Series\)
Rory, \(Gate Series\)
Lelei, \(Gate Series\)
Tuka, \(Gate Series\)
Pina, \(Gate Series\)
Elizabeth, \(The Seven Deadly Sins Series\)
Diane, \(The Seven Deadly Sins Series\)
Merlin, \(The Seven Deadly Sins Series\)
Misa, \(Death Note Series\)
Misa Amane, \(Death Note Series\)
Kohaku, \(Dr.stone Series\)
Ruri, \(Dr.stone Series\)
Lillian, \(Dr.stone Series\)
Homura, \(Dr.stone Series\)
Nobara Kugisaki, \(Jujutsu Kaisen Series\)
Nobara, \(Jujutsu Kaisen Series\)
Maki, \(Jujutsu Kaisen Series\)
Kasumi Miwa, \(Jujutsu Kaisen Series\)
Mei Mei, \(Jujutsu Kaisen Series\)
Shoko, \(Jujutsu Kaisen Series\)
Momo, \(Jujutsu Kaisen Series\)
Makoto Niijima, \(Persona 5 Series\)
Futaba Sakura, \(Persona 5 Series\)
Tae Takemi, \(Persona 5 Series\)
Makoto, \(Persona 5 Series\)
Futaba, \(Persona 5 Series\)
Tae, \(Persona 5 Series\)
Ann, \(Persona 5 Series\)
Ann Takamaki, \(Persona 5 Series\)
Sadayo Kawakami, \(Persona 5 Series\)
Kawakami, \(Persona 5 Series\)
Haru, \(Persona 5 Series\)
Haru Okumura, \(Persona 5 Series\)
Sae, \(Persona 5 Series\)
Sae Niijima, \(Persona 5 Series\)
Hifumi, \(Persona 5 Series\)
Sumire, \(Persona 5 Series\)
Sumire Yoshizawa, \(Persona 5 Series\)
Caroline, \(Persona 5 Series\)
Caroline And Justine, \(Persona 5 Series\)
Twins, \(Persona 5 Series\)
Justine, \(Persona 5 Series\)
Lavenza, \(Persona 5 Series\)
Chihaya, \(Persona 5 Series\)
Shiho, \(Persona 5 Series\)
Sophia, \(Persona 5 Series\)
Alice, \(Persona 5 Series\)
Tanya, \(The Saga Of Tanya The Evil Series\)
Tanya Von Dehurechaff, \(The Saga Of Tanya The Evil Series\)
Lucina, \(Fire Emblem Series\)
Tharja, \(Fire Emblem Series\)
Camilla, \(Fire Emblem Series\)
Lyndis, \(Fire Emblem Series\)
Corrin, \(Fire Emblem Series\)
Tiki, \(Fire Emblem Series\)
Azura, \(Fire Emblem Series\)
Olivia, \(Fire Emblem Series\)
Felicia, \(Fire Emblem Series\)
Cordelia, \(Fire Emblem Series\)
Anna, \(Fire Emblem Series\)
Robin, \(Fire Emblem Series\)
Severa, \(Fire Emblem Series\)
Edelgard, \(Fire Emblem Series\)
Byleth, \(Fire Emblem Series\)
Hilda, \(Fire Emblem Series\)
Lysithea, \(Fire Emblem Series\)
Cherche, \(Fire Emblem Series\)
Nowi, \(Fire Emblem Series\)
Eirika, \(Fire Emblem Series\)
Hinoka, \(Fire Emblem Series\)
Dorothea, \(Fire Emblem Series\)
Elise, \(Fire Emblem Series\)
Sakura, \(Fire Emblem Series\)
Shamir, \(Fire Emblem Series\)
Celica, \(Fire Emblem Series\)
Bernadette, \(Fire Emblem Series\)
Oboro, \(Fire Emblem Series\)
Marianne, \(Fire Emblem Series\)
Ophelia, \(Fire Emblem Series\)
Petra, \(Fire Emblem Series\)
Lisa, \(Fire Emblem Series\)
